pair_id,condition_id,dataset_id,encoder_id,projection_dim,intervention,task,tau,balanced_accuracy
cifar100__vit_b_16_imagenet1k_v1__d128__all_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,all_reflect,original,0.0,0.7003
cifar100__vit_b_16_imagenet1k_v1__d128__all_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,all_reflect,original,0.1,0.7396999999999998
cifar100__vit_b_16_imagenet1k_v1__d128__all_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,all_reflect,original,0.2,0.7509999999999999
cifar100__vit_b_16_imagenet1k_v1__d128__all_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,all_reflect,original,0.3,0.7552999999999999
cifar100__vit_b_16_imagenet1k_v1__d128__all_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,all_reflect,original,0.4,0.7577000000000002
cifar100__vit_b_16_imagenet1k_v1__d128__all_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,all_reflect,original,0.5,0.7558000000000001
cifar100__vit_b_16_imagenet1k_v1__d128__all_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,all_reflect,original,0.6,0.7518999999999998
cifar100__vit_b_16_imagenet1k_v1__d128__all_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,all_reflect,original,0.7,0.7505000000000002
cifar100__vit_b_16_imagenet1k_v1__d128__all_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,all_reflect,original,0.8,0.7441999999999999
cifar100__vit_b_16_imagenet1k_v1__d128__all_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,all_reflect,original,0.9,0.7384
cifar100__vit_b_16_imagenet1k_v1__d128__all_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,all_reflect,original,1.0,0.7243999999999999
cifar100__vit_b_16_imagenet1k_v1__d128__hash_half_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,hash_half_reflect,counterfactual,0.0,0.7711
cifar100__vit_b_16_imagenet1k_v1__d128__hash_half_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,hash_half_reflect,counterfactual,0.1,0.8484999999999999
cifar100__vit_b_16_imagenet1k_v1__d128__hash_half_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,hash_half_reflect,counterfactual,0.2,0.8698
cifar100__vit_b_16_imagenet1k_v1__d128__hash_half_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,hash_half_reflect,counterfactual,0.3,0.8755999999999999
cifar100__vit_b_16_imagenet1k_v1__d128__hash_half_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,hash_half_reflect,counterfactual,0.4,0.8760999999999999
cifar100__vit_b_16_imagenet1k_v1__d128__hash_half_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,hash_half_reflect,counterfactual,0.5,0.8728
cifar100__vit_b_16_imagenet1k_v1__d128__hash_half_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,hash_half_reflect,counterfactual,0.6,0.8683
cifar100__vit_b_16_imagenet1k_v1__d128__hash_half_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,hash_half_reflect,counterfactual,0.7,0.8648
cifar100__vit_b_16_imagenet1k_v1__d128__hash_half_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,hash_half_reflect,counterfactual,0.8,0.8589999999999999
cifar100__vit_b_16_imagenet1k_v1__d128__hash_half_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,hash_half_reflect,counterfactual,0.9,0.8517
cifar100__vit_b_16_imagenet1k_v1__d128__hash_half_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,hash_half_reflect,counterfactual,1.0,0.8377999999999999
cifar100__vit_b_16_imagenet1k_v1__d128__hash_half_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,hash_half_reflect,original,0.0,0.7003
cifar100__vit_b_16_imagenet1k_v1__d128__hash_half_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,hash_half_reflect,original,0.1,0.7396999999999998
cifar100__vit_b_16_imagenet1k_v1__d128__hash_half_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,hash_half_reflect,original,0.2,0.7509999999999999
cifar100__vit_b_16_imagenet1k_v1__d128__hash_half_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,hash_half_reflect,original,0.3,0.7552999999999999
cifar100__vit_b_16_imagenet1k_v1__d128__hash_half_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,hash_half_reflect,original,0.4,0.7577000000000002
cifar100__vit_b_16_imagenet1k_v1__d128__hash_half_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,hash_half_reflect,original,0.5,0.7558000000000001
cifar100__vit_b_16_imagenet1k_v1__d128__hash_half_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,hash_half_reflect,original,0.6,0.7518999999999998
cifar100__vit_b_16_imagenet1k_v1__d128__hash_half_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,hash_half_reflect,original,0.7,0.7505000000000002
cifar100__vit_b_16_imagenet1k_v1__d128__hash_half_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,hash_half_reflect,original,0.8,0.7441999999999999
cifar100__vit_b_16_imagenet1k_v1__d128__hash_half_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,hash_half_reflect,original,0.9,0.7384
cifar100__vit_b_16_imagenet1k_v1__d128__hash_half_reflect,cifar100__vit_b_16_imagenet1k_v1__d128,cifar100,vit_b_16_imagenet1k_v1,128,hash_half_reflect,original,1.0,0.7243999999999999
cifar100__vit_b_16_imagenet1k_v1__d64__all_reflect,cifar100__vit_b_16_imagenet1k_v1__d64,cifar100,vit_b_16_imagenet1k_v1,64,all_reflect,counterfactual,0.0,0.7472000000000001
cifar100__vit_b_16_imagenet1k_v1__d64__all_reflect,cifar100__vit_b_16_imagenet1k_v1__d64,cifar100,vit_b_16_imagenet1k_v1,64,all_reflect,counterfactual,0.1,0.8405999999999999
cifar100__vit_b_16_imagenet1k_v1__d64__all_reflect,cifar100__vit_b_16_imagenet1k_v1__d64,cifar100,vit_b_16_imagenet1k_v1,64,all_reflect,counterfactual,0.2,0.892
cifar100__vit_b_16_imagenet1k_v1__d64__all_reflect,cifar100__vit_b_16_imagenet1k_v1__d64,cifar100,vit_b_16_imagenet1k_v1,64,all_reflect,counterfactual,0.3,0.9175
cifar100__vit_b_16_imagenet1k_v1__d64__all_reflect,cifar100__vit_b_16_imagenet1k_v1__d64,cifar100,vit_b_16_imagenet1k_v1,64,all_reflect,counterfactual,0.4,0.9308999999999998
cifar100__vit_b_16_imagenet1k_v1__d64__all_reflect,cifar100__vit_b_16_imagenet1k_v1__d64,cifar100,vit_b_16_imagenet1k_v1,64,all_reflect,counterfactual,0.5,0.9373999999999999
